Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,3,2,1,5,8,7,8,18,18
Albania,...,...,...,...,...,...,...,...,...
Algeria,120,128,121,200,112,112,206,264,324
Angola,3652,2584,3175,5668,8848,8398,7613,7088,9633
Argentina,1580,1612,1642,1667,1684,1698,1727,1753,1759
Armenia,...,...,...,...,...,...,...,...,45.6
Australia,...,...,...,...,...,...,...,...,...
Austria,...,...,...,...,...,...,...,...,...
Azerbaijan,...,...,...,...,...,...,...,...,...
Bahamas,...,...,...,...,...,...,...,...,...
Bahrain,...,...,...,...,...,...,...,...,0
Bangladesh,19,9,16,18,25,21,22,25,36
Barbados,...,...,...,...,...,...,...,...,16
Belarus,189,181,203,237,257,269,284,267,234
Belgium,...,...,...,...,...,...,...,...,...
Belize,53,87,66,51,56,58,43,46,43
Benin,846,1115,1281,1187,2099,3333,4217,3936,4607
Bhutan,...,...,...,...,...,...,...,...,...
Bolivia (Plurinational State of),133,168,249,212,229,284,345,337,350
Bosnia and Herzegovina,...,...,...,...,...,...,...,...,...
Botswana,10999,9940,12304,12290,11047,11096,10811,11859,12359
Brazil,...,...,...,...,...,...,...,...,...
Brunei Darussalam,...,...,...,...,...,...,...,...,1
Bulgaria,...,...,...,...,...,...,...,...,...
Burkina Faso,2792,3098,3228,3369,4285,4731,4826,5314,4741
Burundi,2617,2670,2737,3084,3499,3885,4518,4187,3986
Cabo Verde,...,...,...,...,...,...,...,...,...
Cambodia,551.62,663.5,667.38,695.25,722.12,768,720,760,619
Cameroon,13818,15379,17755,23173,22297,26678,23005,23098,21716
Canada,...,...,...,...,...,...,...,...,...
Central African Republic,2013,2552,2742,1541,2562,2721,3901,2897,3186
Chad,1601,1930,2643.49,4338.48,6086,4671,4377,4776,5619
Chile,156,151,157,251,228,217,274,272,366
China,...,...,...,...,...,...,...,...,...
Colombia,779,695,695,704,804,712,682,643,493
Comoros,...,...,...,...,...,...,...,...,4
Congo,622,1415.53,1134.42,1465.77,1186.75,1129.71,672,698,1026
Costa Rica,...,...,...,...,...,...,...,...,35
Croatia,...,...,...,...,...,...,...,...,...
Cuba,67,120,139,108,97,157,143,151,184
Cyprus,...,...,...,...,...,...,...,...,...
Czechia,...,...,...,...,...,...,...,...,7
Côte d'Ivoire,7815,6966,13294,16027,17763,17711,16894,17291,16499
Democratic People's Republic of Korea,...,...,...,...,...,...,...,...,...
Democratic Republic of the Congo,2166,3186,3315,7802,12294,14466,15413,13939,11376
Denmark,...,...,...,...,...,...,...,...,...
Djibouti,38,47,42,32,62,76,83,50,61
Dominica,,,,,,,,,4
Dominican Republic,768,1074,1308,972,1072,894,913,811,765
Ecuador,265,289,312,318,334,347,358,362,368
Egypt,11,7,9,38,32,32,52,54,59
El Salvador,98,115,162,183,171,158,137,133,108
Equatorial Guinea,259.94,146.37,252,1166,1200,990,1596,1516,1277
